"","i","years","country","state","district","season","area","production_tonnes","yield_tn_ha","plant_dates","harvest_dates","season_length","VEG_annual_mean","VEG_annual_min","VEG_annual_max","VEG_annual_AUC","VEG_annual_5th_prct","VEG_annual_sd","VEG_annual_max_5th_prct","VEG_annual_AUC_5th_prct","VEG_growing_max_date","VEG_growing_mean","VEG_growing_min","VEG_growing_max","VEG_growing_AUC","VEG_growing_5th_prct","VEG_growing_max_5th_prct","VEG_growing_AUC_5th_prct","VEG_growing_AUC_v2","VEG_growing_AUC_leading","VEG_growing_AUC_trailing","VEG_growing_AUC_diff_mn","VEG_growing_AUC_diff_90th","VEG_all_growing_5th_prct","VEG_growing_sd","Whe_Yeild_kgha","yield_tn_ha_dual"
"518",35,2008,"India","Punjab","MOGA","Rabi",117,873000,7.46,305,137,198,4833.24555126316,1930.33591398956,7545.48034979424,149022145097.599,2021.80208912037,2116.57757936929,6739.35250257202,25325454479.193,33,4808.58539490345,1971.39862397119,7890.54126800412,122760.826822678,1991.82920396091,7549.13080825617,59071.0317130491,122807.589268261,66924.2278904583,55797.4411779203,7203.30387131181,-8200.31487425019,2003.04209104938,2317.07987368753,4932,4.932
"519",35,2009,"India","Punjab","MOGA","Rabi",177,779000,4.4,313,137,189,4657.71308086807,1971.39862397119,7890.54126800412,143962271571.609,2002.66318479938,2221.25880982362,6739.35250257202,25325454479.193,49,4751.98923065748,1897.11575360082,7736.06660236626,116864.877416223,1911.35927983539,7549.13080825617,59071.0317130491,116841.950924616,69479.2037771928,47346.5528462668,1307.35446485739,-14096.2642807046,2003.04209104938,2267.08577899904,4401,4.401
"520",35,2010,"India","Punjab","MOGA","Rabi",177,887000,5.01,313,137,189,4855.16929281045,1897.11575360082,7763.03083847737,150143929649.517,1924.14168467078,2187.93249619143,6739.35250257202,25325454479.193,41,5051.59880241959,2048.07842078189,8153.41095679012,124186.304667867,2162.54821244856,7549.13080825617,59071.0317130491,124132.79976728,67530.542730984,56542.4172228715,8628.78171650119,-6774.83702906081,2003.04209104938,2313.69874199545,5014,5.014
"521",35,NA,"India","Punjab","MOGA",NA,NA,NA,NA,305,145,205,5068.54924355995,2048.07842078189,8153.41095679012,156706755945.371,2206.59799639918,2178.15220371052,6739.35250257202,25325454479.193,49,4946.2859277753,1965.45371656379,7618.48951903292,131281.779305616,2063.44044753086,7549.13080825617,59071.0317130491,131285.87270554,79442.1277891706,51773.1046631234,15724.2563542503,320.63760868831,2003.04209104938,2157.26327956616,NA,NA
"522",35,2012,"India","Punjab","MOGA","Rabi",176,871000,4.95,313,137,190,4962.2312195607,1786.0274691358,7868.01131253785,153135708749.578,1924.52488040123,2073.42061284916,6739.35250257202,25325454479.193,33,5057.07729948744,2002.92148919753,7869.37946244856,124366.215335266,2031.15895833333,7549.13080825617,59071.0317130491,124289.323028596,59238.2208678587,65054.9840072724,8808.69238389979,-6594.92636166222,2003.04209104938,2269.67693790339,4952,4.952
"523",35,NA,"India","Punjab","MOGA",NA,NA,NA,NA,313,137,189,4909.68142622707,2002.92148919753,7869.37946244856,156894413417.531,2037.59103709087,2195.74351245289,6739.35250257202,25325454479.193,41,5146.3781544129,2219.49538323045,7903.83330761317,126492.525493674,2221.53258230453,7549.13080825617,59071.0317130491,126436.946324314,68801.9663817238,57669.3982721761,10935.0025423079,-4468.61620325412,2003.04209104938,2279.12008321512,NA,NA
"524",35,NA,"India","Punjab","MOGA",NA,NA,NA,NA,313,137,189,4959.44415989666,1839.38407921811,7903.83330761317,149376082045.048,1966.8998913323,2240.65015987523,6739.35250257202,25325454479.193,65,4538.3166423754,2153.43636831276,7869.36091820988,79580.4181114609,2157.35197080761,7549.13080825617,59071.0317130491,79528.4319894547,51102.5866792109,28451.5691105337,-35977.1048399049,-51380.7235854669,2003.04209104938,2320.94895359973,NA,NA
"525",35,NA,"India","Punjab","MOGA",NA,NA,NA,NA,321,33,77,4837.08983859263,2153.43636831276,7869.36091820988,158810883818.092,2176.85076646091,2220.96842938731,6739.35250257202,25325454479.193,33,5734.64728881347,2343.1266718107,7833.37619598765,57991.5903236591,2343.1266718107,7549.13080825617,59071.0317130491,57992.868743049,57991.5903236591,NA,-57565.9326277067,-72969.5513732687,2003.04209104938,1990.07248340456,NA,NA
"526",35,NA,"India","Punjab","MOGA",NA,NA,NA,NA,NA,NA,NA,7426.18629708443,7068.4891718107,7833.37619598765,20454968998.0054,7068.4891718107,357.842362462238,6739.35250257202,25325454479.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527",36,2002,"India","Punjab","MUKTSAR","Rabi",192,809000,4.21,329,137,173,3461.23957548158,2072.75975733064,4992.20808897877,53213337969.6246,2174.84186046512,951.446774895436,5151.0393528817,22153996016.8938,41,3865.89271655513,1478.9947421638,6580.52072800809,86938.2199184098,1489.12467138524,6596.05143579373,51853.228877324,86954.8453220218,41234.610456445,45649.9288349011,-2821.75220921286,-14754.2095742295,1615.65770475228,1845.3268716799,4215,4.215
